"applies_json","field","priority","purpose","scope","segment_type","template_id","text_pool_json","Creation Date","Modified Date","Slug","Creator","unique id"
"","PROGRAM_SUMMARY","1","","program","","prog_summary_1","[""Three focused sessions per week with a main lift, a secondary pattern, and short accessories. Keep effort at ~{RIR} RIR on most work and progress steadily."",""A simple, repeatable hypertrophy week: main movement first, then secondary volume, then a tight accessory finisher. Prioritise clean reps and consistent loading."",""Built for consistency: key compounds each week, then targeted accessories. Aim to add small load or reps week-to-week while keeping form sharp.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728016x147039873504646980"
"","PROGRESSION_BLURB","1","","program","","prog_progression_1","[""Progression: add 1 set to key lifts in weeks 2–3 (as prescribed), then reduce volume in week 4 to consolidate."",""Progression: build volume through weeks 2–3, then deload week 4. Keep 1–2 reps in reserve on most sets."",""Progression: small weekly volume increases, then a lighter week 4. Add load only when reps stay crisp.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728016x189483971841410980"
"","DAY_TITLE","1","","day","","day_title_1","[""Day {DAY_INDEX}: {DAY_FOCUS} Hypertrophy"",""Day {DAY_INDEX}: {DAY_FOCUS} — Build Volume"",""Day {DAY_INDEX}: {DAY_FOCUS} Session""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728016x618741039604142640"
"","SAFETY_BLURB","1","","program","","prog_safety_1","[""Pain rule: stop if you get sharp pain. Swap to a safer variation and keep training quality high."",""Quality first: if form degrades, reduce load and finish the prescribed work cleanly."",""Stay conservative on the first week—earn the right to add load.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728016x645171009032351500"
"","PROGRAM_TITLE","1","","program","","prog_title_1","[""{DAYS_PER_WEEK}-Day Hypertrophy ( {DURATION_MINS} min )"",""Hypertrophy Builder — {DAYS_PER_WEEK} Days / Week"",""Strength + Size ( {DURATION_MINS}-Minute Sessions )""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728016x836677317550269300"
"","WARMUP_GENERAL_HEAT","1","","day","","warmup_heat_1","[""2–4 minutes easy pace to raise core temp (bike/row/jog)."",""Start with 3 minutes of easy engine work to get warm."",""Quick pulse-raiser: 2–3 minutes steady movement.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728017x230471232452974300"
"","TIME_BUDGET_HINT","1","","day","","day_time_40","[""40-minute cap: set up stations early and keep rests honest."",""Keep transitions tight to stay inside 40 minutes."",""Move with purpose—this session is short by design.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728017x428435389853253800"
"","WARMUP_TITLE","1","","day","","warmup_title_1","[""Warm-up (8–12 min)"",""Warm-up: ramp + prep"",""Warm-up: mobilise, activate, ramp""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728017x522145749802124900"
"","RAMP_SETS_TEXT","1","","day","","warmup_ramp_1","[""Ramp: empty bar x8, ~40% x5, ~60% x3, ~75% x1–2, then start work sets."",""Ramp sets: bar x8, light x5, moderate x3, 1–2 crisp singles, then into working sets."",""Build gradually: bar x8, 2–3 progressive jumps to your first work set.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728017x885544605565631400"
"","DAY_GOAL","1","","day","","day_intro_1","[""Today’s priority is {MAIN_LIFT_NAME}. Get quality sets in early, then build volume with {SECONDARY_LIFT_NAME} and accessories."",""Main focus: {MAIN_LIFT_NAME}. Keep the clock moving—secondary work and accessories should feel efficient, not rushed."",""Hit {MAIN_LIFT_NAME} hard but controlled, then accumulate good reps on {SECONDARY_LIFT_NAME}. Finish with short accessory work.""]","Feb 16, 2026 7:22 pm","Feb 16, 2026 7:22 pm","","(App admin)","1771269728017x920231491987647500"
