id,applies_json,field,priority,purpose,scope,segment_type,template_id,text_pool_json,created_at,updated_at,is_active
984bcf04-de2e-4a24-9962-466b792024e8,NULL,PROGRAM_SUMMARY,1,NULL,program,NULL,prog_summary_1,"[""Three focused sessions per week with a main lift, a secondary pattern, and short accessories. Keep effort at ~{RIR} RIR on most work and progress steadily."", ""A simple, repeatable hypertrophy week: main movement first, then secondary volume, then a tight accessory finisher. Prioritise clean reps and consistent loading."", ""Built for consistency: key compounds each week, then targeted accessories. Aim to add small load or reps week-to-week while keeping form sharp.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
c3c07dc2-34a3-4a5b-837e-2adf0369d87c,NULL,WARMUP_TITLE,1,NULL,day,NULL,warmup_title_1,"[""Warm-up (8–12 min)"", ""Warm-up: ramp + prep"", ""Warm-up: mobilise, activate, ramp""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
5cf6ecd4-945f-4cf5-b5a4-295beb1281fd,NULL,PROGRESSION_BLURB,1,NULL,program,NULL,prog_progression_1,"[""Progression: add 1 set to key lifts in weeks 2–3 (as prescribed), then reduce volume in week 4 to consolidate."", ""Progression: build volume through weeks 2–3, then deload week 4. Keep 1–2 reps in reserve on most sets."", ""Progression: small weekly volume increases, then a lighter week 4. Add load only when reps stay crisp.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
fdb5cdf4-2c1c-41bd-a7d2-77519d45166c,NULL,DAY_TITLE,1,NULL,day,NULL,day_title_1,"[""Day {DAY_INDEX}: {DAY_FOCUS} Hypertrophy"", ""Day {DAY_INDEX}: {DAY_FOCUS} — Build Volume"", ""Day {DAY_INDEX}: {DAY_FOCUS} Session""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
b170eec3-d194-40eb-9ed2-0b5670875930,NULL,SAFETY_BLURB,1,NULL,program,NULL,prog_safety_1,"[""Pain rule: stop if you get sharp pain. Swap to a safer variation and keep training quality high."", ""Quality first: if form degrades, reduce load and finish the prescribed work cleanly."", ""Stay conservative on the first week—earn the right to add load.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
5cce36c6-2c13-49ec-816d-c6bfdf9a8da1,NULL,PROGRAM_TITLE,1,NULL,program,NULL,prog_title_1,"[""{DAYS_PER_WEEK}-Day Hypertrophy ( {DURATION_MINS} min )"", ""Hypertrophy Builder — {DAYS_PER_WEEK} Days / Week"", ""Strength + Size ( {DURATION_MINS}-Minute Sessions )""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
3cbac0e2-f9b5-43d7-9983-628b5d611ad1,NULL,WARMUP_GENERAL_HEAT,1,NULL,day,NULL,warmup_heat_1,"[""2–4 minutes easy pace to raise core temp (bike/row/jog)."", ""Start with 3 minutes of easy engine work to get warm."", ""Quick pulse-raiser: 2–3 minutes steady movement.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
6e9e9285-9ad6-4a71-8b0f-77f7deac9434,NULL,TIME_BUDGET_HINT,1,NULL,day,NULL,day_time_40,"[""40-minute cap: set up stations early and keep rests honest."", ""Keep transitions tight to stay inside 40 minutes."", ""Move with purpose—this session is short by design.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
f5744a8b-2858-45e6-9c4d-547e1384048d,NULL,RAMP_SETS_TEXT,1,NULL,day,NULL,warmup_ramp_1,"[""Ramp: empty bar x8, ~40% x5, ~60% x3, ~75% x1–2, then start work sets."", ""Ramp sets: bar x8, light x5, moderate x3, 1–2 crisp singles, then into working sets."", ""Build gradually: bar x8, 2–3 progressive jumps to your first work set.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
d1ea73ad-f6f6-4d8c-a1f5-1b88b6b2aca9,NULL,DAY_GOAL,1,NULL,day,NULL,day_intro_1,"[""Today’s priority is {MAIN_LIFT_NAME}. Get quality sets in early, then build volume with {SECONDARY_LIFT_NAME} and accessories."", ""Main focus: {MAIN_LIFT_NAME}. Keep the clock moving—secondary work and accessories should feel efficient, not rushed."", ""Hit {MAIN_LIFT_NAME} hard but controlled, then accumulate good reps on {SECONDARY_LIFT_NAME}. Finish with short accessory work.""]",2026-03-01 16:19:26.993318+00,2026-03-01 16:19:26.993318+00,True
